matchup,perturbation_type,shift_value,prob_home_win,prob_draw,prob_away_win,delta_win_prob
Argentina vs Brazil,elo,-150.0,0.2130720500973553,0.26287041363025265,0.524057536272392,-0.12796087117924754
Argentina vs Brazil,elo,-100.0,0.2769790007646265,0.28095937795432135,0.44206162128105203,-0.06405392051197634
Argentina vs Brazil,elo,-50.0,0.29782982965834853,0.29463579320082234,0.40753437714082913,-0.04320309161825431
Argentina vs Brazil,elo,0.0,0.34103292127660284,0.3060010475835799,0.3529660311398172,0.0
Argentina vs Brazil,elo,50.0,0.4245548794334608,0.2426942035825964,0.3327509169839426,0.08352195815685798
Argentina vs Brazil,elo,100.0,0.4586638681096157,0.2199774435190809,0.3213586883713035,0.11763094683301284
Argentina vs Brazil,elo,150.0,0.5522877216345012,0.17948597755333295,0.2682263008121658,0.2112548003578984
Argentina vs Brazil,form,-0.3,0.3482870101968126,0.32634109838017344,0.325371891423014,0.007254088920209734
Argentina vs Brazil,form,-0.2,0.36441704409009673,0.2951422864879353,0.340440669421968,0.02338412281349389
Argentina vs Brazil,form,-0.1,0.3394461435665806,0.3067378911334728,0.35381596529994663,-0.0015867777100222469
Argentina vs Brazil,form,0.0,0.34103292127660284,0.3060010475835799,0.3529660311398172,0.0
Argentina vs Brazil,form,0.1,0.34103292127660284,0.3060010475835799,0.3529660311398172,0.0
Argentina vs Brazil,form,0.2,0.34103292127660284,0.3060010475835799,0.3529660311398172,0.0
Argentina vs Brazil,form,0.3,0.34103292127660284,0.3060010475835799,0.3529660311398172,0.0
England vs Croatia,elo,-150.0,0.30908773419244895,0.31449330222232663,0.3764189635852244,-0.0341910258657418
England vs Croatia,elo,-100.0,0.3010938819959586,0.36285949305369436,0.336046624950347,-0.042184878062232145
England vs Croatia,elo,-50.0,0.3359333376296905,0.3713433873145511,0.29272327505575846,-0.007345422428500226
England vs Croatia,elo,0.0,0.34327876005819075,0.3953414967204658,0.26137974322134344,0.0
England vs Croatia,elo,50.0,0.3963312290913246,0.39831217364965776,0.2053565972590177,0.053052469033133876
England vs Croatia,elo,100.0,0.5683850746713427,0.2956661788593713,0.13594874646928592,0.22510631461315195
England vs Croatia,elo,150.0,0.6340736094923951,0.27511558429965216,0.09081080620795269,0.29079484943420436
England vs Croatia,form,-0.3,0.32986972651307367,0.4010643930968756,0.26906588039005086,-0.013409033545117077
England vs Croatia,form,-0.2,0.3405030253989118,0.3947004997868838,0.2647964748142044,-0.002775734659278939
England vs Croatia,form,-0.1,0.34196330815560316,0.3938265392440854,0.26421015260031133,-0.0013154519025875833
England vs Croatia,form,0.0,0.34327876005819075,0.3953414967204658,0.26137974322134344,0.0
England vs Croatia,form,0.1,0.3539872579053799,0.40767407903874847,0.2383386630558717,0.010708497847189136
England vs Croatia,form,0.2,0.3539872579053799,0.40767407903874847,0.2383386630558717,0.010708497847189136
England vs Croatia,form,0.3,0.3539872579053799,0.40767407903874847,0.2383386630558717,0.010708497847189136
USA vs Mexico,elo,-150.0,0.09129687947800937,0.12440587156157688,0.7842972489604138,-0.1358461312106533
USA vs Mexico,elo,-100.0,0.08976893525823675,0.14164673911890582,0.7685843256228575,-0.1373740754304259
USA vs Mexico,elo,-50.0,0.14931898000048435,0.1475644770007157,0.7031165429988,-0.07782403068817831
USA vs Mexico,elo,0.0,0.22714301068866266,0.16588783798489187,0.6069691513264455,0.0
USA vs Mexico,elo,50.0,0.2686347265244018,0.1803757891783464,0.5509894842972517,0.04149171583573913
USA vs Mexico,elo,100.0,0.29671996888133884,0.19517423741876452,0.5081057936998967,0.06957695819267617
USA vs Mexico,elo,150.0,0.4074017334217946,0.22463754224078436,0.367960724337421,0.18025872273313193
USA vs Mexico,form,-0.3,0.2171066111892577,0.1700651626394335,0.6128282261713088,-0.010036399499404963
USA vs Mexico,form,-0.2,0.2171066111892577,0.1700651626394335,0.6128282261713088,-0.010036399499404963
USA vs Mexico,form,-0.1,0.20854655263929106,0.16987942538418016,0.6215740219765288,-0.0185964580493716
USA vs Mexico,form,0.0,0.22714301068866266,0.16588783798489187,0.6069691513264455,0.0
USA vs Mexico,form,0.1,0.21924751742841492,0.16012157512346467,0.6206309074481204,-0.007895493260247743
USA vs Mexico,form,0.2,0.20530748438051627,0.16298048380288477,0.631712031816599,-0.02183552630814639
USA vs Mexico,form,0.3,0.20530748438051627,0.16298048380288477,0.631712031816599,-0.02183552630814639
Germany vs Spain,elo,-150.0,0.1527230818389533,0.10956359132560237,0.7377133268354444,0.009395746371808095
Germany vs Spain,elo,-100.0,0.15745067313747035,0.1227275188288402,0.7198218080336893,0.014123337670325142
Germany vs Spain,elo,-50.0,0.19348819445549253,0.1844302012565159,0.6220816042879915,0.05016085898834732
Germany vs Spain,elo,0.0,0.1433273354671452,0.23233091981638013,0.6243417447164747,0.0
Germany vs Spain,elo,50.0,0.16013930558860498,0.24409705545982519,0.5957636389515698,0.01681197012145977
Germany vs Spain,elo,100.0,0.1663619866093758,0.2822541020401464,0.5513839113504778,0.023034651142230578
Germany vs Spain,elo,150.0,0.1844393261782009,0.2830542552929875,0.5325064185288115,0.0411119907110557
Germany vs Spain,form,-0.3,0.14322481866595937,0.23235872252761655,0.6244164588064242,-0.00010251680118583684
Germany vs Spain,form,-0.2,0.1433273354671452,0.23233091981638013,0.6243417447164747,0.0
Germany vs Spain,form,-0.1,0.1433273354671452,0.23233091981638013,0.6243417447164747,0.0
Germany vs Spain,form,0.0,0.1433273354671452,0.23233091981638013,0.6243417447164747,0.0
Germany vs Spain,form,0.1,0.14928704137037468,0.23071463857891653,0.6199983200507089,0.005959705903229473
Germany vs Spain,form,0.2,0.14928704137037468,0.23071463857891653,0.6199983200507089,0.005959705903229473
Germany vs Spain,form,0.3,0.14928704137037468,0.23071463857891653,0.6199983200507089,0.005959705903229473
France vs Senegal,elo,-150.0,0.4345617364721708,0.21635863195921426,0.3490796315686148,-0.16132189932864527
France vs Senegal,elo,-100.0,0.5079097287523626,0.21794150387998254,0.2741487673676548,-0.08797390704845343
France vs Senegal,elo,-50.0,0.5446106005804894,0.17699204598117688,0.2783973534383337,-0.05127303522032667
France vs Senegal,elo,0.0,0.595883635800816,0.17561020238619762,0.22850616181298636,0.0
France vs Senegal,elo,50.0,0.6539327703081365,0.16390621653214024,0.18216101315972336,0.05804913450732041
France vs Senegal,elo,100.0,0.7150234450353692,0.17554946213752265,0.10942709282710826,0.11913980923455314
France vs Senegal,elo,150.0,0.7448840092761415,0.1646895936781179,0.0904263970457405,0.14900037347532546
France vs Senegal,form,-0.3,0.5961859100472456,0.1756992842780343,0.22811480567472003,0.0003022742464295902
France vs Senegal,form,-0.2,0.5961859100472456,0.1756992842780343,0.22811480567472003,0.0003022742464295902
France vs Senegal,form,-0.1,0.595883635800816,0.17561020238619762,0.22850616181298636,0.0
France vs Senegal,form,0.0,0.595883635800816,0.17561020238619762,0.22850616181298636,0.0
France vs Senegal,form,0.1,0.595883635800816,0.17561020238619762,0.22850616181298636,0.0
France vs Senegal,form,0.2,0.6093266853156624,0.17775947753376245,0.2129138371505751,0.013443049514846317
France vs Senegal,form,0.3,0.6093266853156624,0.17775947753376245,0.2129138371505751,0.013443049514846317
